3-grams,Frequency,Sentence,Document ID,Document
In the cemetery ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
the cemetery on ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
cemetery on a ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
on a fresh ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
a fresh pile ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
fresh pile of ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
pile of earth ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
of earth there ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
earth there is ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
there is a ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
is a new ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
a new cross ,1,1,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
It is made ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
is made of ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
made of oak ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
of oak it ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
oak it is ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
it is heavy ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
is heavy and ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
heavy and smooth ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
and smooth a ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
smooth a pleasure ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
a pleasure to ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
pleasure to look ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
to look at ,1,2,1,"=hyperlink(""C:\Program Files (x86)\NLP\lib\sampleData\Bunin - Gentle breath.txt"")"
