VerbNet class,Example members
accompany-51.7,"accompany, conduct, escort, guide, lead, shepherd, steer"
admire-31.2,"admire, adore, appreciate, bear, bewail, cherish, deify, disbelieve"
admire-31.2-1,"despise, detest, disdain, dislike, regret, like, love, enjoy"
admit-65,"admit, allow, include, permit, welcome"
adopt-93,"assume, adopt, take_over, take_on"
advise-37.9,"alert, assure, brief, encourage, entice, inform, notify"
advise-37.9-1,"admonish, advise, caution, counsel, instruct, warn"
allow-64,"allow, permit"
amalgamate-22.2,
amalgamate-22.2-1,"couple, incorporate, integrate, match, overlap"
amalgamate-22.2-1-1,"amalgamate, coalesce, consolidate, intermingle"
amalgamate-22.2-2,"conjoin, entangle, muddle, pair, team, affiliate, associate, compare"
amalgamate-22.2-2-1,"alternate, crisscross, entwine, interchange, interconnect, interlace, interlink, interlock"
amalgamate-22.2-3,oppose
amalgamate-22.2-3-1,"introduce, figure"
amalgamate-22.2-3-1-1,"marry, wed"
amalgamate-22.2-3-2,engage
amuse-31.1,"abash, affect, afflict, affront, aggravate, aggrieve, agitate, agonize"
animal_sounds-38,"baa, bark, bay, bellow, blat, bleat, bray, buzz"
appeal-31.4,
appeal-31.4-1,niggle
appeal-31.4-2,"grate, jar"
appeal-31.4-3,"appeal, matter"
appear-48.1.1,"appear, arise, awake, awaken, break, burst, come, dawn"
appoint-29.1,"appoint, crown, designate, elect, proclaim, promote, mark, ordain"
approve-77,"accept, understand, encourage, discourage"
assessment-34,"analyze, assess, audit, evaluate, review, scrutinize, study"
assuming_position-50,"bend, bow, crouch, flop, hang, kneel, lean, lie"
avoid-52,"avoid, boycott, circumvent, dodge, duck, elude, eschew, evade"
banish-10.2,"banish, deport, evacuate, expel, extradite, recall, remove"
battle-36.4,"consult, exile"
battle-36.4-1,"argue, bargain, battle, bicker, brawl, clash, combat, compete"
begin-55.1,"go_on, proceed"
begin-55.1-1,"begin, start, start_off, commence, recommence, resume, undertake"
being_dressed-41.3.3,"attire, clad, garb, robe"
bend-45.2,"bend, crease, crinkle, crumple, fold, furrow, rumple, wrinkle"
berry-13.7,"antique, berry, birdnest, blackberry, clam, crab, fish, fowl"
bill-54.5,"bet, bill, charge, fine, invoice, mulct, overcharge, save"
body_internal_motion-49,"buck, fidget, flap, gyrate, kick, rock, squirm, sway"
body_internal_states-40.6,"convulse, cower, quake, quiver, shake, shiver, shudder, tremble"
braid-41.2.2,"bob, braid, brush, clip, coldcream, comb, condition, crimp"
break-45.1,"break, chip, crack, crash, crush, fracture, rip, shatter"
breathe-40.1.2,"bleed, dribble, drool, puke, spit, sweat, vomit, weep"
breathe-40.1.2-1,"breathe, cough, cry, defecate, expectorate, retch, slobber, urinate"
bring-11.3,take
bring-11.3-1,bring
build-26.1,"arrange, assemble, bake, blow, cast, chisel, churn, compile"
build-26.1-1,"build, carve, cut, make, sculpt, shape"
bulge-47.5.3,"bristle, bulge, seethe"
bump-18.4,hit
bump-18.4-1,"bang, brush, bump, crash, knock, ram, slam, smash"
butter-9.9,"aromatize, asphalt, bait, black, blanket, blindfold, board, bread"
calibratable_cos-45.6,multiply
calibratable_cos-45.6-1,"appreciate, balloon, climb, decline, decrease, depreciate, differ, diminish"
calve-28,"calve, cub, fawn, foal, kitten, lamb, litter, pup"
captain-29.8,"prostitute, volunteer"
captain-29.8-1,"boss, bully, butcher, butler, caddy, captain, champion, chaperone"
captain-29.8-1-1,star
care-88,mind
care-88-1,"care, worry, wonder"
carry-11.4,"carry, drag, haul, heft, hoist, lug, pull, schlep"
carry-11.4-1,
carry-11.4-1-1,"heave, kick, push, shove"
carve-21.2,
carve-21.2-1,"bruise, chip, crush, cube, dent, dice, fillet, gash"
carve-21.2-2,"bore, carve, chop, crop, drill, file, lance, mill"
