word,n_ratings,n,prop_known,rating,rating_sd
aardvark,14,16,0.875,3.5714285714285716,1.8277470669267508
aback,10,11,0.9090909090909091,3.7,1.4181364924121764
abandon,10,10,1,3.8,1.9321835661585918
abandoned,10,10,1,4.2,1.5491933384829668
abase,10,11,0.9090909090909091,2.5,2.068278940998476
abash,11,12,0.9166666666666666,3.5454545454545454,2.5831622621754278
abate,10,10,1,2.8,1.6865480854231356
abbey,10,11,0.9090909090909091,2.4,1.6465452046971292
abdomen,11,11,1,3.272727272727273,1.6787441193290353
abdominal,10,10,1,3.6,2.0110804171997807
abduct,10,10,1,4.1,2.1317702607092643
abduction,10,10,1,4.1,1.728840330651992
abide,10,10,1,3.2,1.4757295747452437
abiding,10,10,1,3.4,1.577621275493231
ability,12,12,1,3.0833333333333335,1.378954368902449
abject,10,11,0.9090909090909091,3.3,2.0027758514399734
able,16,16,1,2.9375,1.8786076404259264
ably,11,11,1,3.090909090909091,1.9211738835693897
abnormal,11,11,1,3.090909090909091,2.3001976199685736
abnormality,9,9,1,3,1.5811388300841898
aboard,11,11,1,4,2.280350850198276
abode,10,10,1,3.4,2.0110804171997807
abolish,12,12,1,3,0.9534625892455924
abolition,10,10,1,3.4,2.0110804171997807
abominable,11,12,0.9166666666666666,4,2
abominate,11,11,1,2.727272727272727,1.954016841836789
abomination,10,10,1,4.8,1.9321835661585918
abort,10,10,1,3.8,1.9321835661585918
abortion,13,13,1,4.461538461538462,1.8536173919925967
abound,10,11,0.9090909090909091,4,1.699673171197595
about,10,10,1,2,1.1547005383792515
above,10,10,1,3.8,1.9888578520235065
abrasion,10,10,1,4.7,1.2516655570345725
abrasive,10,10,1,4,2.0548046676563256
abridge,10,12,0.8333333333333334,3.9,2.378141197564929
abroad,12,12,1,3.4166666666666665,1.880924981991251
abrupt,10,10,1,4.9,1.7919573407620817
abscess,17,20,0.85,3.6470588235294117,2.148871112659745
absence,10,11,0.9090909090909091,3.2,1.398411797560202
absent,13,13,1,2.230769230769231,1.2351684199496948
absently,10,10,1,2.7,1.4944341180973264
absinthe,10,12,0.8333333333333334,2.5,1.4337208778404378
absolute,10,10,1,3.1,2.0248456731316584
absolutely,10,10,1,4.8,1.4757295747452437
absolution,10,10,1,3.2,1.7511900715418263
absolutism,10,12,0.8333333333333334,3,1.8856180831641267
absolve,13,13,1,2.8461538461538463,1.4632243987255136
absorb,10,10,1,4.7,1.888562063228706
absorbent,11,11,1,4.454545454545454,1.9679246105293955
abstinence,10,10,1,3.9,2.4698178070456938
abstract,10,10,1,3.2,1.398411797560202
abstracted,10,10,1,2.8,1.8737959096740262
abstraction,10,10,1,2.7,2.057506581601462
abstractionism,10,11,0.9090909090909091,3.6,2.3190036174568114
abstractive,16,16,1,3.4375,2.0320351046836436
absurd,13,13,1,4,2
absurdity,9,9,1,3.4444444444444446,2.5055493963954847
abundance,10,10,1,4.4,1.7126976771553504
abundant,10,10,1,3.2,1.5491933384829668
abuse,10,10,1,2.7,1.766981104093143
abusive,10,10,1,4.5,2.3213980461973533
abut,10,11,0.9090909090909091,2.6,1.429840705968481
abysmal,10,11,0.9090909090909091,3.3,1.8287822299126937
abyss,10,10,1,4.9,1.728840330651992
academic,10,10,1,2.7,1.766981104093143
academy,11,11,1,2.5454545454545454,1.572490786213793
accelerate,10,10,1,4.4,1.577621275493231
accent,11,11,1,3.3636363636363638,1.6292775867068985
accept,10,10,1,3.6,2.5473297566057065
acceptable,10,10,1,3,2.1081851067789197
acceptance,10,10,1,2.7,1.4181364924121764
access,10,10,1,3.2,1.4757295747452437
accessible,10,10,1,4.3,1.766981104093143
accessory,10,10,1,3.9,2.330951164939612
accident,10,10,1,3.7,1.766981104093143
accidental,10,10,1,3,1.9436506316151
acclaim,10,10,1,2.3,1.3374935098492586
acclimate,8,9,0.8888888888888888,3.75,1.164964745021435
accommodate,10,10,1,2.7,1.70293863659264
accommodating,11,11,1,2.4545454545454546,1.3684762594679065
accommodation,11,11,1,3.090909090909091,1.9211738835693897
accommodative,10,10,1,3,1.5634719199411433
accompany,10,10,1,4.1,1.7919573407620817
accomplice,10,10,1,2.6,2.0110804171997807
accomplish,10,10,1,3.6,2.065591117977289
accomplished,10,10,1,3.7,2.1628170930011112
accomplishment,11,11,1,3.4545454545454546,2.46429041972071
accord,10,12,0.8333333333333334,2.1,1.1005049346146119
accordance,11,11,1,2.090909090909091,0.9438798074485389
accordant,10,10,1,2.5,2.1213203435596424
according,10,10,1,2.6,1.429840705968481
accordingly,12,12,1,2.75,1.2880570286640687
accordion,11,11,1,3.909090909090909,1.9725387425622574
accordionist,10,10,1,2,1.247219128924647
account,11,11,1,3.3636363636363638,1.5666989036012806
accountability,10,10,1,3,2
accountable,11,11,1,3.1818181818181817,1.7215215257545762
accountancy,10,10,1,2.8,1.8737959096740262
accountant,11,11,1,3.8181818181818183,1.7215215257545762
accounting,11,11,1,2.8181818181818183,1.5374122295716148
accrue,15,18,0.8333333333333334,3.2666666666666666,1.7511900715418263
accumulate,10,10,1,3.2,1.8135294011647258
accuracy,10,10,1,3.7,1.2516655570345725
accurate,10,10,1,3.1,2.330951164939612
accursed,11,12,0.9166666666666666,2.909090909090909,1.9725387425622574
accusation,12,12,1,3.25,1.9598237397554634
accusative,12,12,1,2.9166666666666665,1.8319554050414562
accuse,16,16,1,3.875,1.927865832122834
accused,13,13,1,2.923076923076923,1.4411533842457842
accustom,10,10,1,2.8,1.9321835661585918
ace,10,10,1,3.9,1.5951314818673865
acetify,11,12,0.9166666666666666,3.3636363636363638,1.9116865471476894
ache,10,10,1,5.8,1.0327955589886444
achieve,11,11,1,2.6363636363636362,1.9632996344280855
achievement,11,12,0.9166666666666666,3.5454545454545454,2.0670576365276494
aching,10,10,1,5.2,1.1352924243950935
achy,12,12,1,6,1.044465935734187
acid,10,10,1,4.3,2.5841396591085743
acidic,10,10,1,5.1,1.3703203194062976
acidify,13,13,1,4.230769230769231,1.9644272343292228
acidity,11,11,1,4.545454545454546,1.572490786213793
acknowledge,12,12,1,2.6666666666666665,2.0150945537631877
acknowledged,10,10,1,2.7,1.3374935098492586
acknowledgment,10,10,1,3.4,2.4129281427805145
acne,10,10,1,2.7,1.946506842754191
acorn,10,10,1,3,1.4907119849998598
acoustic,10,10,1,4.3,1.946506842754191
acoustics,10,10,1,2.9,1.3703203194062976
acquaint,11,12,0.9166666666666666,2.272727272727273,1.7939291563999449
acquaintance,10,10,1,1.7,0.6749485577105528
acquire,10,10,1,3.6,1.9550504398153574
acquisitive,10,11,0.9090909090909091,3.7,2.1628170930011112
acquit,11,11,1,2.909090909090909,1.2210278829367867
acre,11,12,0.9166666666666666,3.1818181818181817,1.7215215257545762
acrid,10,11,0.9090909090909091,3.9,1.9692073983655907
acrobat,11,12,0.9166666666666666,4.7272727272727275,1.6787441193290353
acrobatic,10,10,1,4.2,1.7511900715418263
acrobatics,10,10,1,4.3,1.888562063228706
acronym,11,11,1,2.727272727272727,2.2401298663653004
across,10,10,1,3.7,1.8287822299126937
acrylic,10,10,1,3.1,2.183269719175042
act,10,10,1,3,2.0548046676563256
acting,11,11,1,3.5454545454545454,1.6348477827391983
action,10,10,1,4.4,1.837873166945363
active,11,11,1,4.454545454545454,2.1148823307047775
activism,11,12,0.9166666666666666,3,1.61245154965971
activist,10,10,1,4.5,2.3687784005919825
activity,10,10,1,3.6,1.429840705968481
actor,13,13,1,4.076923076923077,2.139374459257443
actress,11,12,0.9166666666666666,3.8181818181818183,2.1825756260978366
actual,10,10,1,2.4,1.0749676997731399
actuality,12,12,1,3.25,1.6583123951777
actualization,10,11,0.9090909090909091,2.8,1.6865480854231356
actualize,14,14,1,3.357142857142857,1.864945569720998
actually,10,10,1,3.2,1.8135294011647258
acupuncture,10,10,1,3.1,2.5582111805799856
acupuncturist,10,10,1,3,1.699673171197595
acute,10,10,1,3.8,2.043961295567452
ad,13,13,1,3.6923076923076925,2.3939025107069902
adage,11,13,0.8461538461538461,3.1818181818181817,1.8877596148970779
adamant,10,11,0.9090909090909091,3,1.699673171197595
adapt,10,10,1,3.4,1.837873166945363
adaptable,10,10,1,4.7,1.636391694484477
adaptation,10,10,1,2.7,1.3374935098492586
adapter,11,11,1,3.1818181818181817,1.7215215257545762
add,10,10,1,4.1,2.0248456731316584
