term,category,source
mother,kin_family,curated
father,kin_family,curated
mom,kin_family,curated
dad,kin_family,curated
parent,kin_family,curated
son,kin_family,curated
daughter,kin_family,curated
brother,kin_family,curated
sister,kin_family,curated
wife,kin_family,curated
husband,kin_family,curated
widow,kin_family,curated
widower,kin_family,curated
uncle,kin_family,curated
aunt,kin_family,curated
cousin,kin_family,curated
grandmother,kin_family,curated
grandfather,kin_family,curated
nephew,kin_family,curated
niece,kin_family,curated
family,kin_family,curated
child,child_youth,curated
children,child_youth,curated
baby,child_youth,curated
infant,child_youth,curated
youth,child_youth,curated
lad,child_youth,curated
boy,child_youth,curated
girl,child_youth,curated
student,child_youth,curated
pupil,child_youth,curated
schoolboy,child_youth,curated
schoolgirl,child_youth,curated
orphan,child_youth,curated
farmer,laborer,curated
laborer,laborer,curated
labourer,laborer,curated
worker,laborer,curated
workman,laborer,curated
hand,laborer,curated
servant,laborer,curated
maid,laborer,curated
housekeeper,laborer,curated
cook,laborer,curated
nurse,laborer,curated
slave,laborer,curated
sharecropper,laborer,curated
tenant,laborer,curated
peasant,laborer,curated
miner,laborer,curated
porter,laborer,curated
driver,laborer,curated
carpenter,laborer,curated
blacksmith,laborer,curated
smith,laborer,curated
fisherman,laborer,curated
shepherd,laborer,curated
doctor,professional,curated
physician,professional,curated
surgeon,professional,curated
lawyer,professional,curated
attorney,professional,curated
teacher,professional,curated
professor,professional,curated
engineer,professional,curated
editor,professional,curated
reporter,professional,curated
journalist,professional,curated
clerk,professional,curated
secretary,professional,curated
scientist,professional,curated
scholar,professional,curated
sheriff,military_police,curated
deputy,military_police,curated
policeman,military_police,curated
constable,military_police,curated
officer,military_police,curated
soldier,military_police,curated
guard,military_police,curated
sentry,military_police,curated
captain,military_police,curated
colonel,military_police,curated
general,military_police,curated
marshal,military_police,curated
jailer,military_police,curated
judge,authority_official,curated
governor,authority_official,curated
mayor,authority_official,curated
senator,authority_official,curated
congressman,authority_official,curated
official,authority_official,curated
magistrate,authority_official,curated
coroner,authority_official,curated
commissioner,authority_official,curated
councilman,authority_official,curated
president,authority_official,curated
minister,clergy,curated
priest,clergy,curated
preacher,clergy,curated
pastor,clergy,curated
reverend,clergy,curated
bishop,clergy,curated
chaplain,clergy,curated
monk,clergy,curated
nun,clergy,curated
rabbi,clergy,curated
merchant,merchant_trade,curated
trader,merchant_trade,curated
shopkeeper,merchant_trade,curated
grocer,merchant_trade,curated
banker,merchant_trade,curated
broker,merchant_trade,curated
businessman,merchant_trade,curated
manufacturer,merchant_trade,curated
planter,elite_landowner,curated
landowner,elite_landowner,curated
landlord,elite_landowner,curated
master,elite_landowner,curated
squire,elite_landowner,curated
lord,elite_landowner,curated
lady,elite_landowner,curated
gentleman,elite_landowner,curated
aristocrat,elite_landowner,curated
noble,elite_landowner,curated
king,elite_landowner,curated
queen,elite_landowner,curated
prince,elite_landowner,curated
princess,elite_landowner,curated
mob,crowd_collective,curated
crowd,crowd_collective,curated
throng,crowd_collective,curated
posse,crowd_collective,curated
gang,crowd_collective,curated
band,crowd_collective,curated
party,crowd_collective,curated
group,crowd_collective,curated
committee,crowd_collective,curated
jury,crowd_collective,curated
company,crowd_collective,curated
regiment,crowd_collective,curated
army,crowd_collective,curated
crew,crowd_collective,curated
prisoner,criminal_accused,curated
convict,criminal_accused,curated
criminal,criminal_accused,curated
thief,criminal_accused,curated
murderer,criminal_accused,curated
defendant,criminal_accused,curated
accused,criminal_accused,curated
suspect,criminal_accused,curated
outlaw,criminal_accused,curated
victim,criminal_accused,curated
