term,category,source
house,domestic_interior,curated
home,domestic_interior,curated
cottage,domestic_interior,curated
hut,domestic_interior,curated
cabin,domestic_interior,curated
hovel,domestic_interior,curated
dwelling,domestic_interior,curated
kitchen,domestic_interior,curated
hearth,domestic_interior,curated
fireplace,domestic_interior,curated
oven,domestic_interior,curated
stove,domestic_interior,curated
bedroom,domestic_interior,curated
chamber,domestic_interior,curated
bedchamber,domestic_interior,curated
hall,domestic_interior,curated
parlor,domestic_interior,curated
parlour,domestic_interior,curated
cellar,domestic_interior,curated
attic,domestic_interior,curated
loft,domestic_interior,curated
room,domestic_interior,curated
household,domestic_interior,curated
nursery,domestic_interior,curated
pantry,domestic_interior,curated
field,field_labor,curated
farm,field_labor,curated
farmyard,field_labor,curated
meadow,field_labor,curated
pasture,field_labor,curated
mill,field_labor,curated
barn,field_labor,curated
stable,field_labor,curated
granary,field_labor,curated
garden,field_labor,curated
orchard,field_labor,curated
vineyard,field_labor,curated
cornfield,field_labor,curated
haystack,field_labor,curated
pigsty,field_labor,curated
henhouse,field_labor,curated
dairy,field_labor,curated
forest,wild_forest,curated
wood,wild_forest,curated
woods,wild_forest,curated
woodland,wild_forest,curated
wildwood,wild_forest,curated
wilderness,wild_forest,curated
thicket,wild_forest,curated
grove,wild_forest,curated
glade,wild_forest,curated
mountain,wild_forest,curated
hill,wild_forest,curated
cliff,wild_forest,curated
cave,wild_forest,curated
den,wild_forest,curated
lair,wild_forest,curated
moor,wild_forest,curated
heath,wild_forest,curated
marsh,wild_forest,curated
swamp,wild_forest,curated
bog,wild_forest,curated
valley,wild_forest,curated
jungle,wild_forest,curated
desert,wild_forest,curated
wasteland,wild_forest,curated
tree,wild_forest,curated
door,threshold_liminal,curated
doorway,threshold_liminal,curated
gate,threshold_liminal,curated
gateway,threshold_liminal,curated
threshold,threshold_liminal,curated
window,threshold_liminal,curated
bridge,threshold_liminal,curated
crossroads,threshold_liminal,curated
crossroad,threshold_liminal,curated
well,threshold_liminal,curated
ford,threshold_liminal,curated
boundary,threshold_liminal,curated
border,threshold_liminal,curated
edge,threshold_liminal,curated
shore,threshold_liminal,curated
bank,threshold_liminal,curated
brink,threshold_liminal,curated
fence,threshold_liminal,curated
wall,threshold_liminal,curated
stile,threshold_liminal,curated
portal,threshold_liminal,curated
hedge,threshold_liminal,curated
castle,royal_court,curated
palace,royal_court,curated
court,royal_court,curated
throne,royal_court,curated
tower,royal_court,curated
keep,royal_court,curated
fortress,royal_court,curated
citadel,royal_court,curated
manor,royal_court,curated
mansion,royal_court,curated
kingdom,royal_court,curated
ballroom,royal_court,curated
dungeon,royal_court,curated
turret,royal_court,curated
battlement,royal_court,curated
church,sacred,curated
chapel,sacred,curated
cathedral,sacred,curated
temple,sacred,curated
altar,sacred,curated
shrine,sacred,curated
monastery,sacred,curated
convent,sacred,curated
abbey,sacred,curated
cloister,sacred,curated
cemetery,sacred,curated
graveyard,sacred,curated
grave,sacred,curated
tomb,sacred,curated
sepulchre,sacred,curated
crypt,sacred,curated
churchyard,sacred,curated
market,market_public,curated
marketplace,market_public,curated
square,market_public,curated
town,market_public,curated
village,market_public,curated
hamlet,market_public,curated
city,market_public,curated
street,market_public,curated
inn,market_public,curated
tavern,market_public,curated
alehouse,market_public,curated
fair,market_public,curated
shop,market_public,curated
smithy,market_public,curated
courtyard,market_public,curated
river,water_passage,curated
stream,water_passage,curated
brook,water_passage,curated
creek,water_passage,curated
sea,water_passage,curated
ocean,water_passage,curated
lake,water_passage,curated
pond,water_passage,curated
pool,water_passage,curated
spring,water_passage,curated
waterfall,water_passage,curated
harbor,water_passage,curated
harbour,water_passage,curated
port,water_passage,curated
path,water_passage,curated
pathway,water_passage,curated
road,water_passage,curated
way,water_passage,curated
highway,water_passage,curated
track,water_passage,curated
trail,water_passage,curated
