Prefix,Example,Suffix,Exampe,https://en.wikipedia.org/wiki/List_of_double_placenames
South,,,,
North,,,,
West,,,,
East,,,,
Los,Los Angeles,,,
Las,Las Vegas,,,
New,New Orleans,,,
San,San Diego,,,
"Santa,Santa Clara,,,",,,,
La,La Jolla,,,
Hong,Hong Kong,,,
New South,New South Wales,,,
Soviet,Soviet Union,,,
Republic of,Republic of Congo,,,
Kingdom of, Kingdom of Belgium,,,
People's Republic,People's Republic of Mongolia,,,
People's Republic of,People's Republic of Mongolia,,,
People's,People's Republic of China,,,
District of,District of Columbia,,,
Federal,,,,
