Word,Gender,Sentence,Sentence ID,Document ID,Document
The anesthetist,MALE,The anesthetist had warned me that the operating room would feel cold.,5,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
He,MALE,He came to introduce himself to me in the little cubicle where I lay on the gurney.,6,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
himself,MALE,He came to introduce himself to me in the little cubicle where I lay on the gurney.,6,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
"My wife , Kathleen",FEMALE,"My wife, Kathleen, held my hand and tried to look calm.",7,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
My wife,FEMALE,"My wife, Kathleen, held my hand and tried to look calm.",7,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Kathleen,FEMALE,"My wife, Kathleen, held my hand and tried to look calm.",7,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Kathleen 's,FEMALE,"I recalled Kathleen 's marvelous calm as Christmas approached, as I frantically graded papers for 150 students at the university and tried to think of everything that needed doing before the operation.",15,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
she,FEMALE,"I knew, though, that she was seething with worry.",16,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
She,FEMALE,She did not even blanch when I arranged to have her signature added to the checking account for a small publishing business I ran outside of university time.,17,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
her,FEMALE,She did not even blanch when I arranged to have her signature added to the checking account for a small publishing business I ran outside of university time.,17,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
his wife,FEMALE,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",19,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
your wife,FEMALE,"Then he asked,"" Would you like to see your wife?""",217,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Kathleen,FEMALE,"I ca n't remember whether I spoke or made a sign, but in moments Kathleen was there.",218,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
She,FEMALE,She was happily surprised that I could talk.,219,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
She,FEMALE,"She told me more of what Dr Wright had said, about how successful it had been.",221,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
he,MALE,"I remembered the clear, calm voice of Dr John Wright explaining how he was going to cut a hole in my skull and take it out; I remembered, too, his calm recital of possible after- effects.",14,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Dr John Wright explaining how he was going to cut a hole in my skull and take it out,MALE,"I remembered the clear, calm voice of Dr John Wright explaining how he was going to cut a hole in my skull and take it out; I remembered, too, his calm recital of possible after- effects.",14,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
his,MALE,"I remembered the clear, calm voice of Dr John Wright explaining how he was going to cut a hole in my skull and take it out; I remembered, too, his calm recital of possible after- effects.",14,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Dr Wright,MALE,I saw Dr Wright over to the right looking at four bright pictures suspended on the wall.,23,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Dr Wright,MALE,"It was the neurosurgeon, Dr Wright.",214,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Dr Wright,MALE,"She told me more of what Dr Wright had said, about how successful it had been.",221,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Sheila,FEMALE,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",19,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Sheila,FEMALE,"In rapid succession Sheila, Brian and Debbie came through for brief visits.",223,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Brian,MALE,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",19,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
his,MALE,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",19,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Brian,MALE,"In rapid succession Sheila, Brian and Debbie came through for brief visits.",223,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Debbie,FEMALE,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",19,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
Debbie,FEMALE,"In rapid succession Sheila, Brian and Debbie came through for brief visits.",223,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
daughter Sheila,FEMALE,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",19,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
son Brian,MALE,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",19,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
"his wife , Debbie",FEMALE,"I remembered Christmas Day, with daughter Sheila and son Brian and his wife, Debbie, trying to act as if it were a normal day.",19,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
the gurney shoulder its way,MALE,I felt the gurney shoulder its way through the swinging doors behind me.,20,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
my chin,MALE,A hand grabbed my chin.,26,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
General Rommel 's,MALE,"The Battle of the Bulge was under way, with General Rommel 's armored forces threatening not only to smash through to the Belgian coast and cut the allied forces in half, but to cut off their supply ports as well.",39,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
"Russell "" Scotty "" Scott",MALE,"I was co-pilot; Russell"" Scotty"" Scott was the pilot.",61,1,"=hyperlink(""C:/Users/rfranzo/Desktop/CORPUS DATA/MURPHY/Murphy.txt"")"
